,PUMA_GEOID,PUMA_NAME,UAC_POP,UAC_NAME,UAC_POP
1532,0605906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1523,0603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1531,0603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1522,0605913,Orange County (Northwest)--Garden Grove City (East) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1524,0603716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1521,0607114,San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1520,0603712,Los Angeles County (East Central)--Pomona City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1519,0603713,Los Angeles County (East Central)--Covina & Walnut Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1518,0603743,Los Angeles County (Central)--East Los Angeles PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1525,0607113,San Bernardino County (Southwest)--Ontario City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1526,0603756,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1527,0603751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1528,0603730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1517,0603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1516,0603744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1515,0603740,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1489,0603728,Los Angeles County (Southwest)--Santa Monica City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1529,0603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1514,0603733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1513,0603726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1512,0603760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1511,0603768,Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1510,0605914,Orange County (Northwest)--Huntington Beach City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1509,0603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1508,0603753,Los Angeles County (South)--Downey City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1530,0603719,Los Angeles County (Central)--Glendale City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1490,0603727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1483,0605908,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1488,0603748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1556,0603738,Los Angeles County (Central)--El Monte & South El Monte Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1550,0611102,Ventura County (Southeast)--Thousand Oaks City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1551,0605909,Orange County (North Central)--Anaheim City (West) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1552,0603764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1553,0603731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1554,0603722,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1555,0603718,Los Angeles County (Central)--Pasadena City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1487,0603767,Los Angeles County (South)--LA City (South/San Pedro) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1548,0603759,Los Angeles County (South Central)--Hawthorne City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1503,0603707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
