GEOIDUS,GEODISPLAB,GCTARGID,GEOID,GCDISPLAB,GCLAB,2010,2011,2012,2013,2014,2015,2016
0100000US,United States,310M300US26980,26980,"United States - Iowa City, IA Metro Area","Iowa City, IA Metro Area",152989,155552,158793,161790,164377,166818,168828
0100000US,United States,310M300US27060,27060,"United States - Ithaca, NY Metro Area","Ithaca, NY Metro Area",101774,102111,103135,104270,104498,104564,104871
0100000US,United States,310M300US27100,27100,"United States - Jackson, MI Metro Area","Jackson, MI Metro Area",160169,159673,160102,159789,159597,159465,158460
0100000US,United States,310M300US27140,27140,"United States - Jackson, MS Metro Area","Jackson, MS Metro Area",568791,574032,576464,577382,578733,578666,579229
0100000US,United States,310M300US27180,27180,"United States - Jackson, TN Metro Area","Jackson, TN Metro Area",130016,129794,130343,130645,130102,129588,129527
0100000US,United States,310M300US27260,27260,"United States - Jacksonville, FL Metro Area","Jacksonville, FL Metro Area",1349137,1362140,1379131,1395363,1419765,1448016,1478212
0100000US,United States,310M300US27340,27340,"United States - Jacksonville, NC Metro Area","Jacksonville, NC Metro Area",179613,177898,183807,185545,185252,187033,187136
0100000US,United States,310M300US27500,27500,"United States - Janesville-Beloit, WI Metro Area","Janesville-Beloit, WI Metro Area",160229,159985,160232,160565,161181,161334,161620
0100000US,United States,310M300US27620,27620,"United States - Jefferson City, MO Metro Area","Jefferson City, MO Metro Area",149953,150321,150350,150610,150785,151058,151391
0100000US,United States,310M300US27740,27740,"United States - Johnson City, TN Metro Area","Johnson City, TN Metro Area",199013,199639,200443,200545,200225,200607,201661
0100000US,United States,310M300US27780,27780,"United States - Johnstown, PA Metro Area","Johnstown, PA Metro Area",143464,142572,141531,138837,137517,136194,134732
