,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
1833,0603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1832,0605913,Orange County (Northwest)--Garden Grove City (East) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1824,0603733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1830,0603713,Los Angeles County (East Central)--Covina & Walnut Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1828,0603743,Los Angeles County (Central)--East Los Angeles PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1827,0603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1857,0605915,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1826,0603744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1858,0605904,Orange County (Central)--Irvine City (Central) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1859,0603761,Los Angeles County (South Central)--Torrance City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1860,0603759,Los Angeles County (South Central)--Hawthorne City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1861,0603749,Los Angeles County (Central)--Inglewood City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1862,0605909,Orange County (North Central)--Anaheim City (West) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1829,0603703,Los Angeles County (North Central)--Lancaster City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1835,0603756,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1850,0603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1836,0603751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1852,0603723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1853,0603720,Los Angeles County (Central)--Burbank City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1854,0603736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1855,0603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1856,0605907,Orange County (North Central)--Fullerton & Placentia Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1849,0603709,Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1848,0603702,Los Angeles County (Northwest)--Santa Clarita City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1847,0603758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1846,0605902,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
