,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
1299,0603753,Los Angeles County (South)--Downey City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1327,0603758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1326,0605902,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1325,0605905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1324,0603704,Los Angeles County (North Central)--Palmdale City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1323,0605911,Orange County (Central)--Orange & Villa Park Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1322,0605910,Orange County (North Central)--Anaheim City (East) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1300,0603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1289,0603757,Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1298,0603739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1265,0603762,Los Angeles County (South Central)--Carson City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1273,0603752,Los Angeles County (South)--South Gate & Lynwood Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1272,0603755,Los Angeles County (Southeast)--Norwalk City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1271,0603754,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1270,0603737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1269,0603721,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1268,0603746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
